wmi	make	country	region	source	all_makes
223	WELSH HARP	GERMANY	EUROPE	KBA	
233	KAMPS-DE WILD	GERMANY	EUROPE	KBA	
234	LAFORZA			WIKI	
248	VEENHUIS & ZONEN	GERMANY	EUROPE	KBA	
253	MAM-STRAGER	GERMANY	EUROPE	KBA	
255	TWINTECH	GERMANY	EUROPE	KBA	
284	LUTZ	GERMANY	EUROPE	KBA	
285	BOSS HOSS	GERMANY	EUROPE	KBA	
288	SSANGYONG	UNITED STATES	NORTH AMERICA	VINGO	
291	CITROEN			VINGO	
299	STEWART	GERMANY	EUROPE	KBA	
2A2	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
2A3	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
2A4	CHRYSLER CANADA	UNITED STATES	NORTH AMERICA	VININFO	
2A5	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
2A6	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
2A7	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
2A8	CHRYSLER CANADA	UNITED STATES	NORTH AMERICA	VININFO	
2AY	HINO			WIKI	
2AZ	HINO			WIKI	
2B0	BOMBARDIER	GERMANY	EUROPE	KBA	
2B1	ORION BUS INDUSTRIES			WIKI	
2B2	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
2B3	DODGE CANADA	UNITED STATES	NORTH AMERICA	VININFO	
2B4	DODGE	UNITED STATES	NORTH AMERICA	VININFO	
2B5	DODGE	UNITED STATES	NORTH AMERICA	VININFO	
2B6	DODGE	UNITED STATES	NORTH AMERICA	VININFO	
2B7	DODGE	UNITED STATES	NORTH AMERICA	VININFO	
2B8	DODGE	UNITED STATES	NORTH AMERICA	VININFO	
2B9	BWS MANUFACTURING (TRUCK TRAILER)			WIKI	
2BC	JEEP	UNITED STATES	NORTH AMERICA	VINGO	
2BD	JEEP	UNITED STATES	NORTH AMERICA	VINGO	
2BE	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
2BF	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
2BH	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
2BM	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
2BP	SKI-DOO			WIKI	
2BT	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
2BV	BOMBARDIER	GERMANY	EUROPE	KBA	
2BW	CAN-AM COMMANDER E LSV			WIKI	
2BX	BOMBARDIER	GERMANY	EUROPE	KBA	
2BZ	BOMBARDIER	GERMANY	EUROPE	KBA	
2C0	GMC	CANADA	NORTH AMERICA	VINGO	
2C1	OPEL	CANADA	NORTH AMERICA	VINGO	
2C2	OPEL	CANADA	NORTH AMERICA	VINGO	
2C3	CHRYSLER	UNITED STATES	NORTH AMERICA	VININFO	
2C4	CHRYSLER CANADA	UNITED STATES	NORTH AMERICA	VININFO	
2C5	VOLKSWAGEN	CANADA	NORTH AMERICA	VINGO	
2C6	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
2C7	DODGE	CANADA	NORTH AMERICA	VININFO	
2C8	CHRYSLER	CANADA	NORTH AMERICA	VININFO	
2C9	CAMPAGNA MOTORS			WIKI	
2CA	VOLKSWAGEN	CANADA	NORTH AMERICA	VINGO	
2CC	CHEVROLET	UNITED STATES	NORTH AMERICA	VINGO	
2CD	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
2CE	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
2CF	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
2CG	OPEL	CANADA	NORTH AMERICA	VINGO	
2CH	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
2CK	PONTIAC	CANADA	NORTH AMERICA	VININFO	
2CM	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
2CN	CAMI	CANADA	NORTH AMERICA	VININFO	
2CT	GMC	CANADA	NORTH AMERICA	VININFO	
2D2	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
2D3	DODGE	UNITED STATES	NORTH AMERICA	VININFO	
2D4	DODGE CANADA	UNITED STATES	NORTH AMERICA	VININFO	
2D5	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
2D6	DODGE	UNITED STATES	NORTH AMERICA	VININFO	
2D7	DODGE	UNITED STATES	NORTH AMERICA	VININFO	
2D8	DODGE CANADA	UNITED STATES	NORTH AMERICA	VININFO	
2DG	ONTARIO DRIVE & GEAR			VININFO	
2DM	DI-MOND TRAILERS (TRUCK TRAILER)			WIKI	
2DN	DYNASTY ELECTRIC CAR CORPORATION			WIKI	
2E2	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
2E3	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
2E4	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
2E5	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
2E6	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
2E7	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
